ticker,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
COST,2024-02-29,2024-03-07,3.71,3.6,0.11,3.0556,post-market
COST,2024-05-31,2024-06-06,3.78,3.7,0.08,2.1622,post-market
COST,2024-08-31,2024-09-26,5.29,5.08,0.21,4.1339,post-market
COST,2024-11-30,2024-12-12,4.04,3.8,0.24,6.3158,pre-market
COST,2025-02-28,2025-03-06,4.02,4.23,-0.21,-4.9645,pre-market
COST,2025-05-31,2025-06-05,4.28,4.2278,0.0522,1.2347,pre-market
COST,2025-08-31,2025-09-25,5.87,5.82,0.05,0.8591,pre-market
COST,2025-11-30,2025-12-11,4.5,4.27,0.23,5.3864,pre-market
COST,2026-02-28,2026-03-05,4.93,4.54,0.39,8.5903,post-market
COST,2026-05-31,2026-05-28,4.93,4.98,-0.05,-1.004,pre-market
ETSY,2015-03-31,2015-05-19,-0.2,0.03,-0.23,-766.6667,post-market
ETSY,2015-06-30,2015-08-04,-0.07,-0.08,0.01,12.5,post-market
ETSY,2015-09-30,2015-11-03,-0.04,-0.02,-0.02,-100,post-market
ETSY,2015-12-31,2016-02-23,-0.04,-0.01,-0.03,-300,post-market
ETSY,2016-03-31,2016-05-03,0.01,-0.04,0.05,125,post-market
ETSY,2016-06-30,2016-08-02,-0.06,-0.02,-0.04,-200,post-market
ETSY,2016-09-30,2016-11-01,0.02,-0.02,0.04,200,post-market
ETSY,2016-12-31,2017-02-28,-0.19,0.02,-0.21,-1050,post-market
ETSY,2017-03-31,2017-05-02,0.0386,0.01,0.0286,286,post-market
ETSY,2017-06-30,2017-08-03,0.11,0.04,0.07,175,post-market
ETSY,2017-09-30,2017-11-06,0.21,0.08,0.13,162.5,post-market
ETSY,2017-12-31,2018-02-27,0.17,0.09,0.08,88.8889,post-market
ETSY,2018-03-31,2018-05-08,0.1,0.06,0.04,66.6667,post-market
ETSY,2018-06-30,2018-08-06,0.12,0.09,0.03,33.3333,post-market
ETSY,2018-09-30,2018-11-06,0.23,0.14,0.09,64.2857,post-market
ETSY,2018-12-31,2019-02-25,0.32,0.21,0.11,52.381,post-market
ETSY,2019-03-31,2019-05-08,0.3,0.24,0.06,25,post-market
